詞項 (Word)|詞類(CKIP_POS)|詞頻(Frequency)
的|DE|15778
我|Nh|13999
是|SHI|13397
你|Nh|7429
就|D|7092
有|V_2|6991
對|P|6705
不|D|6677
個|Nf|6330
他|Nh|5453
一|Neu|5301
就是|Cbb|5260
那|Nep|4827
在|P|4694
然後|D|4473
都|D|4419
對|VH|4414
說|VE|4242
很|Dfa|4100
也|D|3882
因為|Cbb|3435
我們|Nh|3412
會|D|3398
要|D|3173
這|Nep|3124
覺得|VK|2932
了|Di|2832
所以|Cbb|2276
去|D|2189
他們|Nh|2088
種|Nf|2066
現在|Nd|1976
可是|Cbb|1926
時候|Na|1907
還|D|1901
跟|P|1869
人|Na|1848
講|VE|1768
這樣|VH|1697
什麼|Nep|1650
好|VH|1644
她|Nh|1641
妳|Nh|1633
沒有|VJ|1628
看|VC|1579
比較|Dfa|1573
嗎|T|1566
其實|D|1518
去|VCL|1500
那邊|Ncd|1496
它|Nh|1454
好像|D|1339
像|P|1337
可以|D|1300
沒有|D|1296
走|VA|1273
知道|VK|1264
做|VC|1197
再|D|1161
想|VE|1160
真的|D|1115
可能|D|1030
這樣子|VH|1001
自己|Nh|989
到|P|971
很多|Neqa|953
應該|D|877
來|D|863
又|D|850
大|VH|841
看到|VE|840
還是|D|837
一些|Neqa|834
不會|D|832
話|Na|814
了|T|801
次|Nf|782
到|VCL|748
怎麼|D|721
從|P|716
才|Da|708
就是說|Dk|684
東西|Na|665
每|Nes|651
已經|D|646
但是|Cbb|633
往|P|630
如果|Cbb|620
家|Nc|618
一直|D|615
上|Ncd|609
蠻|Dfa|605
把|P|604
你們|Nh|593
兩|Neu|593
像|VG|592
有沒有|D|572
太|Dfa|569
年|Nf|568
大概|D|563
學校|Nc|563
的話|Cba|562
台灣|Nc|555
而且|Cbb|549
沒|D|524
裡面|Ncd|521
天|Nf|520
以前|Nd|519
一樣|VH|518
過|Di|509
地方|Na|503
滿|Dfa|494
喜歡|VK|477
事情|Na|458
大家|Nh|450
後來|Nd|448
有時候|D|429
坐|VA|429
找|VC|428
沒|VJ|426
人家|Nh|421
最|Dfa|413
條|Nf|412
幾|Neu|408
被|P|404
出來|VA|403
錢|Na|402
問題|Na|393
工作|Na|392
公司|Nc|390
玩|VC|389
得|DE|388
讓|VL|388
為什麼|D|385
吃|VC|384
買|VC|383
哪|Nep|377
給|VD|374
時間|Na|371
比|P|370
這邊|Ncd|367
聽|VE|365
一定|D|364
過|VCL|363
就|P|356
三|Neu|353
上|Ng|352
用|P|351
不錯|VH|348
學|VC|348
不過|Cbb|346
老師|Na|342
先|D|341
考|VC|336
一|D|335
對對對|VH|333
以後|Ng|325
不要|D|324
美國|Nc|323
著|Di|319
小|VH|316
台北|Nc|313
第一|Neu|305
一段|Nc|304
那些|Neqa|300
那麼|D|300
還是|Caa|300
打|VC|299
開始|VL|297
之後|Ng|294
反正|D|293
算|VG|293
以|P|291
只是|D|290
路|Na|284
事|Na|282
或是|Caa|282
住|VCL|277
變成|VG|270
些|Nf|267
怎麼樣|VH|267
感覺|Na|266
哪裡|Ncd|265
整個|Neqa|258
看|VE|257
一點|Neqa|255
這些|Neqa|255
走到|VCL|251
新聞|Na|251
當然|D|251
念|VC|250
快|VH|246
問|VE|245
而已|T|244
開|VC|240
只|Da|237
塊|Nf|237
還要|Dfa|237
剛|D|234
上面|Ncd|232
裡|Ncd|232
曉得|VK|232
車|Na|231
旁邊|Ncd|231
不能|D|230
方面|Na|230
家|Nf|229
好了|T|226
重慶南路|Nc|226
不用|D|225
英文|Na|222
差|VH|221
好|Dfa|219
有的|Neqa|218
叫|VG|216
多|VH|214
邊|Ncd|214
今天|Nd|213
有點|Dfa|212
寫|VC|211
能|D|210
出去|VA|209
月|Na|208
一下|Nd|206
之前|Ng|205
同學|Na|205
要|VC|202
點|Nf|202
更|D|201
捷運|Na|201
本來|D|200
辦法|Na|200
平常|Nd|199
或者|Caa|199
呢|T|198
朋友|Na|198
最近|Nd|198
當|P|198
上班|VA|196
以後|Nd|195
歲|Nf|195
只要|Cbb|193
那裡|Ncd|193
非常|Dfa|192
經濟|Na|191
比較|VC|187
奇怪|VK|186
帶|VC|186
久|VH|183
其他|Neqa|182
回來|VA|181
一點|Dfb|179
大陸|Nc|179
日本|Nc|179
如果說|Cbb|179
社會|Na|179
只有|D|175
忠孝東路|Nc|173
能夠|D|173
國家|Na|173
經過|VCL|173
公車|Na|171
所謂|VK|171
大學|Nc|170
外面|Ncd|170
高|VH|170
常常|D|170
唸|VC|168
需要|VK|168
四|Neu|167
或|Caa|167
想要|VE|167
算是|VG|164
遠|VH|164
畢業|VH|162
跟|Caa|161
方向|Na|160
還好|VH|160
電視|Na|159
誰|Nh|159
幫|P|159
的|T|158
會不會|D|158
對對|VC|158
環境|Na|158
累|VHC|157
小孩子|Na|155
讀|VC|154
生活|Na|153
來|VA|153
高中|Nc|153
錯|VH|153
出|VC|151
興趣|Na|151
難|VH|150
十|Neu|148
結果|Na|148
跑|VA|148
電腦|Na|148
對了|VH|148
騎|VC|148
直接|VH|146
幾乎|Da|146
學生|Na|146
雖然|Cbb|145
等於|VG|144
根本|D|143
結婚|VA|143
差不多|VH|142
半|Neqa|141
多少|Neqa|141
另外|Da|140
樣子|Na|140
方便|VH|139
出國|VA|139
書|Na|139
妳們|Nh|138
花|VC|138
附近|Nc|138
最後|Nd|138
懂|VK|138
右轉|VA|137
剛剛|D|137
大部分|Neqa|136
聽說|VE|136
五|Neu|134
這麼|Dfa|134
今年|Nd|133
小時|Na|132
開車|VA|132
新|VH|132
過來|VA|132
小孩|Na|131
件|Nf|131
忠孝西路|Nc|131
賣|VD|131
記得|VK|129
禮拜|Na|128
叫|VF|127
左轉|VA|127
慢慢|VH|127
關係|Na|126
比如說|P|125
媽媽|Na|125
搭|VC|125
中間|Ncd|123
第二|Neu|123
換|VC|123
過去|Nd|123
起來|VA|122
女兒|Na|121
房子|Na|120
拿|VC|120
意思|Na|120
世界|Nc|119
飛機|Na|119
進去|VA|119
本身|Nh|118
車子|Na|118
便宜|VH|118
清楚|VH|118
分鐘|Nf|117
全部|Neqa|117
並|D|117
孩子|Na|117
發生|VJ|117
選|VC|117
政治|Na|116
衡陽路|Na|116
一般|A|115
先生|Na|115
站|VA|115
教|VC|115
當兵|VA|115
可|D|114
譬如說|P|114
沒辦法|VI|113
不然|Cbb|112
政府|Na|112
常|D|112
完全|D|111
希望|VK|111
放|VC|111
重要|VH|110
繼續|VF|110
回去|VA|109
她們|Nh|109
住在|VCL|109
這裡|Ncd|109
上|Nes|108
怕|VK|108
特別|VH|108
父母|Na|107
辛苦|VHC|107
晚上|Nd|106
敢|VL|106
貴|VH|106
壓力|Na|106
六|Neu|105
台|Nf|105
為了|P|105
尤其|D|104
很少|D|104
國中|Nc|104
上|VCL|103
也許|D|103
當初|Nd|103
對面|Ncd|103
小朋友|Na|102
通常|D|102
發現|VE|102
恐怖|VH|101
爸爸|Na|100
中華路|Nc|99
目前|Nd|99
字|Na|99
有|D|99
一起|D|98
女生|Na|98
中|Ng|98
用|VC|97
找到|VC|97
麥當勞|Nc|97
下來|VA|96
台語|Na|96
別人|Nh|96
認為|VE|96
走路|VA|95
到底|D|95
巷子|Na|95
方式|Na|94
容易|VH|94
這麼|D|94
越|D|94
碰到|VC|94
摩托車|Na|94
台北市|Nc|93
左邊|Ncd|93
所|D|93
二|Neu|92
老闆|Na|92
信義路|Nc|92
旅遊|VA|92
基本|Na|92
上課|VA|91
反而|Cbb|91
好玩|VH|91
男生|Na|91
搞|VC|91
武昌街|Na|90
以前|Ng|89
前|Ncd|89
看過|VC|89
想到|VE|89
還好|D|89
不管|Cbb|88
必須|D|88
考試|Na|88
事件|Na|88
前面|Ncd|88
站|Nc|88
簡單|VH|88
不可能|D|87
那麼多|Neqa|87
後面|Ncd|87
參加|VC|87
類似|VG|87
教育|Na|86
中山北路|Nc|85
前|Nes|85
願意|VK|85
可能|Na|84
死|VH|84
結果|Dk|84
實在|D|84
趕快|D|84
少|VH|83
各|Nes|83
您|Nh|83
感覺|VK|83
年輕|VH|82
語言|Na|82
那樣|VH|81
後|Ng|81
賺錢|VA|81
下去|VA|80
北|Ncd|80
南|Ncd|80
活動|Na|80
馬路|Na|80
下|Nes|79
山|Na|79
印象|Na|79
長|VH|79
家庭|Na|79
賺|VC|79
分|VC|78
交叉口|Nc|78
樣|Nf|78
嚴重|VH|78
小時候|Nd|77
叫|VE|77
全|Neqa|77
回家|VA|77
連|Cbb|77
下|Ncd|76
之前|Nd|76
主要|D|76
改|VC|76
那|Dk|76
延平南路|Nc|76
厲害|VH|76
心|Na|75
只有|Cbb|75
來來飯店|Nc|75
看看|VC|75
博愛路|Nc|75
薪水|Na|75
還可以|D|75
一方面|Cbb|74
不一定|D|74
之類|Cab|74
右邊|Ncd|74
回|VCL|74
報|VC|74
女|Na|73
去年|Nd|73
多|D|73
要不然|Cbb|73
音樂|Na|73
街|Na|73
貴陽街|Na|73
機會|Na|73
鎮江街|Nc|73
聽到|VE|73
而|Cbb|72
報紙|Na|72
等|VC|72
網|Na|72
不行|VH|71
同|Nes|71
事實|Na|71
東|Ncd|71
張|Nf|71
早上|Nd|70
店|Nc|70
國外|Nc|70
認識|VJ|70
覺|VK|70
年紀|Na|69
所有|Neqa|69
重|VH|69
節目|Na|69
練|VC|69
講話|VA|69
上去|VA|68
回教|Nb|68
剛好|Da|68
接受|VC|68
在一起|VH|67
強|VH|67
場|Nf|67
整|Neqa|67
離|P|67
變|VH|67
二十|Neu|66
太多|VH|66
好不好|VH|66
但|Cbb|66
沒關係|VH|66
妹|Na|66
國|Nc|66
棟|Nf|66
遇到|VC|66
過去|VA|66
小姐|Na|65
水|Na|65
坐到|VCL|65
拍|VC|65
真|D|65
就算|Cbb|65
想想|VE|65
了解|VK|64
不同|VH|64
只是|Cbb|64
除了|P|64
夠|VH|64
電影|Na|64
課|Na|64
瞭解|VK|64
女孩子|Na|63
中山南路|Nc|63
本|Nf|63
同事|Na|63
好好|VH|63
怎樣|D|63
桃源街|Na|63
班|Na|63
停|VHC|63
靠|P|63
擔心|VK|63
觀念|Na|63
八|Neu|62
台北車站|Nc|62
完|VH|62
抓|VC|62
來|Ng|62
肯德基|Nc|62
接|VC|62
晚|VH|62
部|Nf|62
鄉下|Nc|62
管|VE|62
打工|VA|61
沿|P|61
背|VC|61
香港|Nc|61
接觸|VC|61
逛|VC|61
媒體|Na|61
發覺|VK|61
熟|VH|61
請|VF|61
總是|D|61
加|VC|60
交通|Na|60
地|DE|60
至少|Da|60
突然|D|60
剛好|VH|60
員工|Na|60
差不多|D|60
能力|Na|60
起來|Di|60
媽|Na|60
想法|Na|60
銀行|Nc|60
總統府|Nc|60
警察|Na|60
介紹|VE|59
台|Nc|59
別的|Neqa|59
兒子|Na|59
狀況|Na|59
前|Ng|59
暑假|Nd|59
發展|VC|59
等一下|D|59
給他|D|59
進來|VA|59
漢口街|Na|59
講到|VE|59
一陣子|Nd|58
上來|VA|58
以為|VE|58
老|VH|58
甚至|D|58
穿|VC|58
美國人|Na|58
情況|Na|58
愛|VL|58
睡|VA|58
小學|Nc|57
相信|VK|57
就是了|VH|57
睡覺|VA|57
七|Neu|56
可憐|VHC|56
多久|Nd|56
好看|VH|56
汐止|Nc|56
告訴|VE|56
固定|VHC|56
近|VH|56
國民黨|Nb|56
路口|Nc|56
隔壁|Nc|56
網路|Na|56
蓋|VC|56
辦|VC|56
頭|Na|56
璩美鳳|Nb|56
外國|Nc|55
生|VC|55
休息|VA|55
成績|Na|55
忘記|VK|55
男|Na|55
怎樣|VH|55
賓拉登|Nb|55
下|Ng|54
上網|VA|54
火車站|Nc|54
右|Ncd|54
安排|VE|54
系|Nc|54
宗教|Na|54
國語|Na|54
等|Cab|54
間|Nf|54
集|Nf|54
運動|Na|54
直走|VC|53
客戶|Na|53
看起來|D|53
部分|Neqa|53
稍微|D|53
跑去|VCL|53
學期|Na|53
選擇|VC|53
醫院|Nc|53
一兩|Neu|52
叫做|VG|52
回到|VCL|52
有錢|VH|52
是也|T|52
這麼多|Neqa|52
路線|Na|52
慘|VH|52
九|Neu|51
下|VC|51
大樓|Na|51
工作|VA|51
不景氣|VH|51
內湖|Nc|51
早|D|51
弄|VC|51
兩三|Neu|51
某|Nes|51
唸書|VA|51
得|D|51
談|VE|51
一般|D|50
仁愛路|Nc|50
公園|Nc|50
名字|Na|50
